Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,216303376,2775.062621239036,4393846,56.37081595102177,588552,4498451,57.71284505321528,65429,0.8394208893209744,7698,
United States of America,Americas,38524389,11638.7,977947,295.45,181046,631134,190.67,7394,2.23,1352
India,South-East Asia,32737939,2372.31,288633,20.92,42909,438210,31.75,3454,0.25,380
Brazil,Americas,20728605,9751.91,172118,80.97,24699,579010,272.4,4801,2.26,684
Russian Federation,Europe,6901152,4728.94,134611,92.24,18325,182429,125.01,5609,3.84,792
The United Kingdom,Europe,6731427,9915.78,238517,351.35,32937,132437,195.09,797,1.17,61
France,Europe,6553326,10075.94,109717,168.69,13619,112556,173.06,557,0.86,53
Turkey,Europe,6346881,7525.43,131218,155.58,17332,56213,66.65,1680,1.99,255
Argentina,Americas,5171458,11442.35,40606,89.84,3725,111324,246.32,1107,2.45,54
Iran (Islamic Republic of),Eastern Mediterranean,4926964,5865.93,249850,297.47,31516,106482,126.77,4444,5.29,581
Colombia,Americas,4903304,9636.45,16407,32.24,2141,124743,245.16,622,1.22,95
Spain,Europe,4831809,10208.2,35071,74.09,0,84000,177.47,320,0.68,0
Italy,Europe,4530246,7595.8,45633,76.51,5954,129093,216.45,342,0.57,37
Indonesia,South-East Asia,4073831,1489.39,84771,30.99,0,131923,48.23,4709,1.72,0
Germany,Europe,3937106,4733.99,65241,78.45,4559,92140,110.79,160,0.19,10
Mexico,Americas,3328863,2581.86,111448,86.44,17546,257906,200.03,4979,3.86,756
Poland,Europe,2888385,7609.4,1580,4.16,154,75340,198.48,24,0.06,0
South Africa,Africa,2764931,4661.93,73958,124.7,7740,81595,137.58,2174,3.67,134
Ukraine,Europe,2284940,5224.66,9769,22.34,749,53738,122.88,264,0.6,18
Peru,Americas,2148419,6515.92,7184,21.79,1134,198167,601.02,349,1.06,52
Philippines,Western Pacific,1954023,1783.18,114709,104.68,18528,33109,30.21,1299,1.19,101
Netherlands,Europe,1936572,11124.87,17932,103.01,2342,17996,103.38,44,0.25,2
Iraq,Eastern Mediterranean,1874435,4660.17,49346,122.68,6083,20699,51.46,515,1.28,67
Malaysia,Western Pacific,1706089,5271.24,150996,466.53,20579,16087,49.7,1919,5.93,285
Czechia,Europe,1678944,15699.96,1325,12.39,82,30402,284.29,17,0.16,0
Chile,Americas,1637829,8567.75,4013,20.99,595,36885,192.95,235,1.23,44
Bangladesh,South-East Asia,1493537,906.88,25822,15.68,0,26015,15.8,616,0.37,0
Canada,Americas,1486436,3938.4,17692,46.88,0,26890,71.25,100,0.26,0
Japan,Western Pacific,1454364,1149.91,154011,121.77,19994,15946,12.61,315,0.25,50
Thailand,South-East Asia,1190063,1704.96,123277,176.61,15972,11399,16.33,1837,2.63,256
Belgium,Europe,1177909,10222.74,8692,75.44,0,25360,220.09,21,0.18,0
Pakistan,Eastern Mediterranean,1152481,521.74,28669,12.98,3909,25604,11.59,681,0.31,69
Sweden,Europe,1123413,10877.79,5774,55.91,0,14685,142.19,4,0.04,0
Romania,Europe,1097452,5677.8,6112,31.62,699,34539,178.69,113,0.58,11
Israel,Europe,1053528,12171.72,60025,693.49,6576,6990,80.76,149,1.72,8
Portugal,Europe,1034947,10052.02,15527,150.81,1782,17721,172.12,82,0.8,10
Kazakhstan,Europe,854842,4552.67,38121,203.02,0,12936,68.89,281,1.5,0
Morocco,Eastern Mediterranean,853373,2312,42424,114.94,3841,12437,33.69,645,1.75,76
Hungary,Europe,812227,8313.88,1106,11.32,521,30057,307.66,5,0.05,0
Jordan,Eastern Mediterranean,795161,7793.3,5687,55.74,811,10383,101.76,90,0.88,15
Switzerland,Europe,773583,8938.38,17142,198.07,6189,10432,120.54,28,0.32,8
Nepal,South-East Asia,759222,2605.71,10241,35.15,0,10714,36.77,181,0.62,0
Serbia,Europe,757617,10937.62,15304,220.94,1722,7266,104.9,52,0.75,9
United Arab Emirates,Eastern Mediterranean,716381,7243.19,7003,70.81,987,2038,20.61,18,0.18,2
Austria,Europe,681513,7656.53,9447,106.13,1339,10572,118.77,15,0.17,1
Tunisia,Eastern Mediterranean,660587,5589.38,17799,150.6,3552,23369,197.73,760,6.43,72
Cuba,Americas,640438,5654.27,57139,504.47,6277,5144,45.42,600,5.3,77
Lebanon,Eastern Mediterranean,600451,8797.24,8295,121.53,1153,8044,117.85,33,0.48,4
Greece,Europe,581315,5423.44,22129,206.45,1581,13636,127.22,252,2.35,37
Georgia,Europe,545033,13662.8,27935,700.27,1915,7329,183.72,498,12.48,78
